community_id,community_size,community_flavor,key,title,author,total_degree,out_mentions,in_mentions
1,106,neighborhood,alfred-tennyson/the-brook,The Brook,Alfred Tennyson,2,0,2
1,106,neighborhood,anonymous/ali-baba-and-the-forty-thieves,Ali Baba and the Forty Thieves,Anonymous,2,0,2
1,106,neighborhood,anonymous/valentine-and-orson,Valentine and Orson,Anonymous,2,0,2
1,106,neighborhood,charles-dickens/the-old-curiosity-shop,The Old Curiosity Shop,Charles Dickens,2,2,0
1,106,neighborhood,charlotte-m-yonge/the-heir-of-redclyffe,The Heir of Redclyffe,Charlotte M. Yonge,2,0,2
1,106,neighborhood,friedrich-schiller/mary-stuart,Mary Stuart,Friedrich Schiller,2,0,2
1,106,neighborhood,henry-james/the-american,The American,Henry James,2,1,1
1,106,neighborhood,jane-porter/thaddeus-of-warsaw,Thaddeus of Warsaw,Jane Porter,2,0,2
1,106,neighborhood,jeremy-taylor/holy-living-and-holy-dying,Holy Living and Holy Dying,Jeremy Taylor,2,0,2
1,106,neighborhood,john-bunyan/the-holy-war,The Holy War,John Bunyan,2,0,2
1,106,neighborhood,thomas-campbell/the-pleasures-of-hope,The Pleasures of Hope,Thomas Campbell,2,0,2
1,106,neighborhood,thomas-hardy/the-return-of-the-native,The Return of the Native,Thomas Hardy,2,1,1
1,106,neighborhood,walter-scott/waverley,Waverley,Walter Scott,2,0,2
1,106,neighborhood,alfred-tennyson/locksley-hall,Locksley Hall,Alfred Tennyson,1,0,1
1,106,neighborhood,alfred-tennyson/the-bugle-song,The Bugle Song,Alfred Tennyson,1,0,1
1,106,neighborhood,anna-maria-porter/the-hungarian-brothers,The Hungarian Brothers,Anna Maria Porter,1,0,1
1,106,neighborhood,anonymous/aladdin-and-the-wonderful-lamp,Aladdin and the Wonderful Lamp,Anonymous,1,0,1
1,106,neighborhood,anonymous/arabian-nights,Arabian Nights,Anonymous,1,0,1
1,106,neighborhood,anonymous/concilium-tridentinum,Concilium Tridentinum,Anonymous,1,0,1
1,106,neighborhood,anonymous/the-arabian-nights-entertainments,The Arabian Nights' Entertainments,Anonymous,1,0,1
1,106,neighborhood,anonymous/the-stars-and-the-earth,The Stars and the Earth,Anonymous,1,0,1
1,106,neighborhood,arthur-conan-doyle/the-return-of-sherlock-holmes,The Return of Sherlock Holmes,Arthur Conan Doyle,1,1,0
1,106,neighborhood,benjamin-disraeli/vivian-grey,Vivian Grey,Benjamin Disraeli,1,0,1
1,106,neighborhood,catherine-cuthbertson/santo-sebastiano-or-the-young-protector,"Santo Sebastiano; or, The Young Protector",Catherine Cuthbertson,1,0,1
1,106,neighborhood,charles-dickens/the-haunted-man-and-the-ghost-s-bargain,The Haunted Man and the Ghost's Bargain,Charles Dickens,1,0,1
1,106,neighborhood,charles-johnstone/chrysal-or-the-adventures-of-a-guinea,"Chrysal, or the Adventures of a Guinea",Charles Johnstone,1,0,1
1,106,neighborhood,charles-rollin/the-ancient-history,The Ancient History,Charles Rollin,1,0,1
1,106,neighborhood,cicero/de-senectute,De Senectute,Cicero,1,0,1
1,106,neighborhood,cicero/pro-archia-poeta,Pro Archia Poeta,Cicero,1,0,1
1,106,neighborhood,daniel-defoe/the-history-of-the-devil,The History of the Devil,Daniel Defoe,1,0,1
1,106,neighborhood,desiderius-erasmus/colloquia,Colloquia,Desiderius Erasmus,1,0,1
1,106,neighborhood,dinah-mulock-craik/john-halifax-gentleman,"John Halifax, Gentleman",Dinah Mulock Craik,1,0,1
1,106,neighborhood,elias-lonnrot/kalevala,Kalevala,Elias Lönnrot,1,0,1
1,106,neighborhood,fortune-du-boisgobey/an-omnibus-mystery,An Omnibus Mystery,Fortuné du Boisgobey,1,0,1
1,106,neighborhood,friedrich-de-la-motte-fouque/undine-and-sintram,Undine and Sintram,Friedrich de la Motte Fouqué,1,0,1
1,106,neighborhood,george-colman-the-younger/the-poor-gentleman,The Poor Gentleman,George Colman the Younger,1,0,1
1,106,neighborhood,henry-brooke/the-history-of-henry-earl-of-moreland,"The History of Henry, Earl of Moreland",Henry Brooke,1,0,1
1,106,neighborhood,henry-james/roderick-hudson,Roderick Hudson,Henry James,1,0,1
1,106,neighborhood,henry-james/the-ambassadors,The Ambassadors,Henry James,1,0,1
1,106,neighborhood,henry-rowe-schoolcraft/algic-researches,Algic Researches,Henry Rowe Schoolcraft,1,0,1
1,106,neighborhood,henry-rowe-schoolcraft/the-myth-of-hiawatha,The Myth of Hiawatha,Henry Rowe Schoolcraft,1,0,1
1,106,neighborhood,humphry-davy/consolations-in-travels-or-the-last-days-of-a-philosopher,"Consolations in Travels; or, The Last Days of a Philosopher",Humphry Davy,1,0,1
1,106,neighborhood,john-foxe/book-of-martyrs,Book of Martyrs,John Foxe,1,0,1
1,106,neighborhood,john-foxe/foxe-s-book-of-martyrs,Foxe's Book of Martyrs,John Foxe,1,0,1
1,106,neighborhood,john-greenleaf-whittier/barbara-frietchie,Barbara Frietchie,John Greenleaf Whittier,1,0,1
1,106,neighborhood,john-keats/isabella-or-the-pot-of-basil,"Isabella, or the Pot of Basil",John Keats,1,0,1
1,106,neighborhood,john-keats/la-belle-dame-sans-merci,La Belle Dame sans Merci,John Keats,1,0,1
1,106,neighborhood,madame-d-aulnoy/the-fair-one-with-golden-locks,The Fair One with Golden Locks,Madame d'Aulnoy,1,0,1
1,106,neighborhood,madame-d-aulnoy/the-yellow-dwarf,The Yellow Dwarf,Madame d'Aulnoy,1,0,1
1,106,neighborhood,madame-de-stael/corinne,Corinne,Madame de Stael,1,0,1
1,106,neighborhood,maria-edgeworth/old-poz,Old Poz,Maria Edgeworth,1,0,1
1,106,neighborhood,maria-s-cummins/the-lamplighter,The Lamplighter,Maria S. Cummins,1,0,1
1,106,neighborhood,martin-farquhar-tupper/poems,Poems,Martin Farquhar Tupper,1,0,1
1,106,neighborhood,martin-farquhar-tupper/proverbial-philosophy,Proverbial Philosophy,Martin Farquhar Tupper,1,0,1
1,106,neighborhood,matthew-poole/synopsis-criticorum,Synopsis Criticorum,Matthew Poole,1,0,1
1,106,neighborhood,nehemiah-adams/a-south-side-view-of-slavery,A South-Side View of Slavery,Nehemiah Adams,1,0,1
1,106,neighborhood,oliver-goldsmith/the-history-of-rome,The History of Rome,Oliver Goldsmith,1,0,1
1,106,neighborhood,peter-mark-roget/bridgewater-treatise,Bridgewater Treatise,Peter Mark Roget,1,0,1
1,106,neighborhood,richard-baxter/the-saints-everlasting-rest,The Saints' Everlasting Rest,Richard Baxter,1,0,1
1,106,neighborhood,robert-louis-stevenson/the-black-arrow,The Black Arrow,Robert Louis Stevenson,1,1,0
1,106,neighborhood,robert-southey/the-life-of-cowper,The Life of Cowper,Robert Southey,1,0,1
1,106,neighborhood,rudolf-erich-raspe/the-surprising-adventures-of-baron-munchausen,The Surprising Adventures of Baron Munchausen,Rudolf Erich Raspe,1,0,1
1,106,neighborhood,samuel-richardson/pamela,Pamela,Samuel Richardson,1,0,1
1,106,neighborhood,susan-and-anna-b-warner/the-gold-of-chickaree,The Gold of Chickaree,Susan and Anna B. Warner,1,0,1
1,106,neighborhood,susan-warner/the-wide-wide-world,"The Wide, Wide World",Susan Warner,1,0,1
1,106,neighborhood,thomas-bewick/a-history-of-british-birds,A History of British Birds,Thomas Bewick,1,0,1
1,106,neighborhood,thomas-browne/garden-of-cyrus,Garden of Cyrus,Thomas Browne,1,0,1
1,106,neighborhood,thomas-browne/hydriotaphia,Hydriotaphia,Thomas Browne,1,0,1
1,106,neighborhood,thomas-browne/urn-burial,Urn Burial,Thomas Browne,1,0,1
1,106,neighborhood,thomas-hardy/the-mayor-of-casterbridge,The Mayor of Casterbridge,Thomas Hardy,1,1,0
